location,count,link
"united states--washington (state)--tacoma",12,"http://localhost:4000/foundingstories/browse.html#united%20states--washington%20(state)--tacoma"
"united states--washington (state)--seattle",7,"http://localhost:4000/foundingstories/browse.html#united%20states--washington%20(state)--seattle"
"united states--washington (state)--olympia",2,"http://localhost:4000/foundingstories/browse.html#united%20states--washington%20(state)--olympia"
"united states--kentucky--louisville",1,"http://localhost:4000/foundingstories/browse.html#united%20states--kentucky--louisville"
"united states--indiana--bloomington",1,"http://localhost:4000/foundingstories/browse.html#united%20states--indiana--bloomington"
"united states--tennessee--memphis",1,"http://localhost:4000/foundingstories/browse.html#united%20states--tennessee--memphis"
"united states--michigan--lansing",1,"http://localhost:4000/foundingstories/browse.html#united%20states--michigan--lansing"
"united states--washington--ellensburg",1,"http://localhost:4000/foundingstories/browse.html#united%20states--washington--ellensburg"
"united states--michigan--detroit",1,"http://localhost:4000/foundingstories/browse.html#united%20states--michigan--detroit"
"united states--illinois--chicago",1,"http://localhost:4000/foundingstories/browse.html#united%20states--illinois--chicago"
"united states--washington (state)--federal way",1,"http://localhost:4000/foundingstories/browse.html#united%20states--washington%20(state)--federal%20way"
"united states--california--morgan hill",1,"http://localhost:4000/foundingstories/browse.html#united%20states--california--morgan%20hill"
"united states--washington (state)--fort lewis",1,"http://localhost:4000/foundingstories/browse.html#united%20states--washington%20(state)--fort%20lewis"
"united states--washington (state)--everett",1,"http://localhost:4000/foundingstories/browse.html#united%20states--washington%20(state)--everett"
"united states--washington (state)--puyallup",1,"http://localhost:4000/foundingstories/browse.html#united%20states--washington%20(state)--puyallup"
